,score_train,score_test,model
A,0.0019108654852257878,-0.017954684576486857,"(1, 0, 1)"
AAL,0.028226193969810742,-0.07934087398039713,"(3, 0, 1)"
AAPL,-1.6852816253631886e-08,-0.013307578650679996,"(0, 0, 0)"
ABT,0.039183968355358756,-0.07954627248093304,"(3, 0, 3)"
ACGL,0.0563239437968186,-0.07850910862271254,"(1, 0, 1)"
ACN,0.010747729753967539,-0.011980728188084155,"(1, 0, 0)"
ADBE,0.013258967736129113,-0.07673645638731785,"(1, 0, 0)"
ADI,0.01048228320411504,0.07968614202242386,"(1, 0, 1)"
ADM,-2.1581860076835824e-08,-0.06984522111005731,"(0, 0, 0)"
ADP,0.004418051300741022,-0.014928806445460685,"(0, 0, 1)"
ADSK,-1.0684151119377816e-08,-0.0014990381395598718,"(0, 0, 0)"
AEE,0.022791800966857956,-0.0337301069917868,"(2, 0, 1)"
AEP,0.04944043229360229,-0.14153411998139664,"(3, 0, 3)"
AES,0.008970504820858483,-0.05272170441616808,"(0, 0, 1)"
AFL,0.01602707008137949,0.025757691461399168,"(1, 0, 0)"
AIG,0.03413345224196962,-0.07000461286324855,"(1, 0, 1)"
AIZ,0.014710363250890035,-0.048925636481536694,"(1, 0, 0)"
AJG,0.005880531908287079,-0.016664588824000903,"(0, 0, 1)"
AKAM,-1.3184768610230435e-08,-0.018396319649066406,"(0, 0, 0)"
ALB,0.0061992785731936895,-0.027183626055949484,"(1, 0, 0)"
ALGN,0.0154794094060966,0.010417696031174262,"(2, 0, 2)"
ALL,0.026189087366452535,-0.0246739243529015,"(1, 0, 2)"
AMAT,-9.439580672676584e-09,-0.013848086337048704,"(0, 0, 0)"
AMD,-3.983251950501199e-09,-0.017110391350151133,"(0, 0, 0)"
AME,-2.5336001074904857e-08,-0.00036041519784735243,"(0, 0, 0)"
AMGN,0.006000678614188959,-0.030836650622124928,"(1, 0, 1)"
AMP,-1.251635928234407e-08,-4.0612535470607725e-05,"(0, 0, 0)"
AMT,0.013149887568913554,-0.010402572615927808,"(1, 0, 1)"
AMZN,-1.4124528435743855e-08,-0.04161649240123655,"(0, 0, 0)"
ANSS,0.007887862248583621,-0.020288158061648742,"(1, 0, 1)"
AON,0.009574979720896382,-0.06315356486060897,"(1, 0, 1)"
AOS,-1.8655241129650335e-08,-0.01419490448130456,"(0, 0, 0)"
APA,0.052558396208621905,-0.06563013639175042,"(1, 0, 3)"
APD,-2.6085340110171273e-08,-0.018682359056331643,"(0, 0, 0)"
APH,0.018740731684293133,0.05724115216390646,"(1, 0, 1)"
APTV,0.010662893989531352,-0.0015756039390169008,"(1, 0, 1)"
ARE,0.007632135655317063,-0.025205696855378434,"(0, 0, 1)"
ATO,0.03346409202459366,0.05311752194478103,"(2, 0, 3)"
AVB,0.04088408571209423,-0.026673726813984056,"(1, 0, 0)"
AVGO,0.008387917533876688,-0.03465883445999318,"(1, 0, 0)"
AVY,0.01045266113464205,0.005864532597679939,"(1, 0, 0)"
