,score_train,score_test,model
A,0.007549222698673752,-0.0065246537629106705,"(1, 0, 0)"
AAL,0.016294534454932674,0.0013460940217242534,"(2, 0, 2)"
AAPL,0.004122109147821962,-0.012831913461238909,"(0, 0, 1)"
ABT,0.00475924872985134,-0.008647007318740352,"(1, 0, 0)"
ACGL,0.05338976247559424,-0.03447410519835703,"(2, 0, 3)"
ACN,0.01040158935711566,-0.008020666188062853,"(1, 0, 0)"
ADBE,0.013933521177812547,-0.0426026250315521,"(1, 0, 0)"
ADI,0.026676699680030946,-0.020378866729672263,"(1, 0, 0)"
ADM,0.004949572323310614,-0.00775905120084075,"(1, 0, 1)"
ADP,0.027939608586911913,-0.000533355234203059,"(2, 0, 2)"
ADSK,0.001767435023238284,0.0006416725151474623,"(1, 0, 0)"
AEE,0.021530778305660192,-0.03515618746909133,"(3, 0, 2)"
AEP,-1.5511142748003692e-07,-0.004903268890511514,"(0, 0, 0)"
AES,0.02069430228547342,-0.030223695534475903,"(0, 0, 3)"
AFL,0.005798582870394253,-0.0033159027940341534,"(2, 0, 0)"
AIG,-6.216319592411423e-08,-8.402902240689514e-08,"(0, 0, 0)"
AIZ,0.014611427936820465,-0.011057714679051589,"(2, 0, 3)"
AJG,0.04045931796685287,-0.02433933868503746,"(3, 0, 2)"
AKAM,-5.997765128995525e-08,-0.004275887026776282,"(0, 0, 0)"
ALB,-4.248729768008275e-08,-0.0044098790570688,"(0, 0, 0)"
ALGN,-3.159352690573769e-08,-0.00017968669517332003,"(0, 0, 0)"
ALL,0.004924899690457396,-0.0018329529877247897,"(1, 0, 0)"
AMAT,0.016268229444287075,-0.02050687747042801,"(0, 0, 2)"
AMD,0.005860867489658972,-0.00476740000699194,"(0, 0, 3)"
AME,0.022058334935005086,0.00953591381818375,"(2, 0, 2)"
AMGN,0.005999975079842623,-0.006592893590446236,"(1, 0, 0)"
AMP,0.02451362051753525,-0.015647871669965063,"(2, 0, 2)"
AMT,0.006959836868112856,-0.005462378071185547,"(2, 0, 0)"
AMZN,-5.913268164015051e-08,-0.006145744413578624,"(0, 0, 0)"
ANSS,0.010197891211799592,-0.025020554061990108,"(3, 0, 0)"
AON,0.00336713203658201,-0.011162170795978144,"(2, 0, 0)"
