,score_train,score_test
A,0.06722318152990892,-0.03891920738044452
AAL,0.05622148889059342,-0.04037894761789018
AAPL,0.05414403573799065,-0.05151039090214482
ABT,0.07163105986996521,-0.0050858377453730785
ACGL,0.08911835778523947,-0.04408675196619449
ACN,0.0615409165708366,-0.0907383616459645
ADBE,0.07952237552608776,-0.061263805506562186
ADI,0.06960630243591293,-0.046622180797355695
ADM,0.05342538475911052,-0.007684365802734128
ADP,0.0756358794741041,-0.04450460462429717
ADSK,0.062216824998268305,0.006836016123139554
AEE,0.07402338507673611,-0.061544365416861035
AEP,0.05914362188759159,-0.06244953218329452
AES,0.05984551917018932,-0.06681673595623927
AFL,0.06034229367778721,-0.0888788094421038
AIG,0.05484512919853746,-0.03697318196116117
AIZ,0.06998919410051974,-0.013732640903713289
AJG,0.07564437299410054,-0.09146724593687372
AKAM,0.05021286571409889,-0.05966134634292697
ALB,0.062172797573633365,-0.022218947044253756
ALGN,0.06922672914035999,-0.029883901383813916
ALL,0.0566272222820251,-0.040364516769364256
AMAT,0.0624490220228876,-0.05482025113437783
AMD,0.057762683796509395,-0.021621521960338397
AME,0.05884727902641429,-0.09308184993165036
AMGN,0.06332146103881175,-0.03750093389688325
AMP,0.06021423602225551,-0.03919119648162961
AMT,0.05585042583173938,-0.04245827410511871
AMZN,0.05857757728355373,-0.04889352239517253
ANSS,0.08029683205442495,-0.06339595248201801
AON,0.0689473297089307,-0.056212322557358085
AOS,0.06068322467916809,-0.04609386115100689
APA,0.05998396485805024,-0.06702269192806565
APD,0.06999942311577945,-0.04715448712949177
APH,0.07819165165842235,-0.06343098440605455
APTV,0.06569452940064957,-0.039677970167955046
ARE,0.06922762572403907,-0.033130147037373936
ATO,0.05611682791210493,-0.10143473898654132
AVB,0.0710175077459384,-0.011632916549814798
AVGO,0.06626369148047084,-0.00690340093428965
AVY,0.07847863193707927,-0.037666887851244724
AWK,0.05918158024338038,-0.015974141937256103
AXON,0.04867084903109309,-0.0911567559985067
AXP,0.061760760067447684,-0.06448007619502949
AZO,0.055042521414158885,-0.09172028861331216
BA,0.06853271806996053,-0.08864000710279862
BAC,0.054503398242420564,-0.012679482402385478
BALL,0.061279264090715935,-0.012324947423561605
BAX,0.06192272949341915,0.005484220174029608
BBWI,0.042007989991192485,-0.06536529142431502
BBY,0.05055680049679323,-0.09716069788179249
BDX,0.05476875815339588,-0.0603548218570118
BEN,0.06406406687531674,-0.09321244110743598
BG,0.06763563309226928,-0.062223062055442036
BIIB,0.05467132354103099,-0.13720490475124802
BIO,0.05392365323640802,-0.04168625623559197
BK,0.06693504456413668,-0.05650677693136186
BKNG,0.05462417157749477,-0.1829654848061395
BKR,0.058013088866234575,-0.037067905846916105
BLDR,0.052880441793667576,-0.06727429013381281
BLK,0.07345625730287497,-0.0751657162976831
BMY,0.04933795442755795,-0.10760829569572827
BR,0.061782321827973274,-0.04367427278995217
BRO,0.06394856575504904,0.0052676974279479705
BSX,0.04796758816685176,-0.11058463553577025
BWA,0.04860893668673183,-0.008837754026609579
BX,0.05917618580519346,-0.03844236248907196
BXP,0.060449339604486174,-0.026555953356800943
C,0.04963712521879238,-0.04718448513847351
CAG,0.04299150796748341,-0.06020276926556822
CAH,0.05552543982536251,-0.05154095548817139
CAT,0.05221644530492198,-0.029781100780672976
CB,0.08335037096491893,0.010817458938967905
CBOE,0.052430656408256726,-0.15471745978998763
CBRE,0.06055411992861448,-0.06508462638649615
CCI,0.06081902567715136,0.018417367952603292
CCL,0.05525977039925145,-0.02983017483911654
CDNS,0.06150335874407842,-0.006525694632084855
CE,0.05509391061202973,-0.07303051266604221
CF,0.043492556078888356,-0.03828204283450365
CHD,0.07224650487162887,-0.08393182467275584
CHRW,0.06121800946820244,-0.0748694852376155
CHTR,0.053803532988572544,-0.018561952495002476
CI,0.06437444445877327,-0.02962409379078923
CINF,0.07536147278941907,-0.00733628466763081
