,score_train,score_test,benchmark,p_value,correlation
A,0.0018342636081172259,-0.016483638538309364,-0.00028000532826299995,0.32922608369114736,0.008051337819384106
AAL,0.0036693661760784924,-0.026423586589432224,-0.0028750539405297815,0.16740080008261563,-0.18910453313363437
AAPL,0.0012812854050964217,-0.021067769811969894,-0.0799772787857691,0.4148799934586035,-0.07147608049393234
ABT,0.008696521404162993,0.017432182073351288,-0.0008668992774238937,0.033327558808887076,0.17067499709324366
ACGL,0.03460099029507879,-0.05180947013283843,-0.013020222588142838,1.9287292242211635e-05,-0.04571257187231687
ACN,0.010799509619476844,-0.012448586576576659,-0.0347770931563145,0.017655541709595032,0.030916848850533078
ADBE,0.013272162043370783,-0.07707153088241392,-0.06705428215084552,0.008487068010823327,-0.15062728753143378
ADI,0.004043510208321055,0.03316744064780852,-0.01804902565906108,0.14722094679218894,0.29912481484680414
ADM,0.00011638605562502846,-0.06621349733500614,-0.019952570567701056,0.8059440602719844,-0.021566632250112194
ADP,0.004247063428721054,-0.014239925356499317,-0.00017181884294958927,0.13740398989948452,0.05146692627861422
ADSK,0.0006878813837509767,0.015546410789998744,-0.01976620656277106,0.5502947435241587,0.34148997857152935
AEE,0.01206267028148389,-0.056781474242903585,-0.010718485097767294,0.012124767445284018,0.04663229995975313
AEP,0.01564881918974126,-0.04638128500531624,-0.005593098631506255,0.004239952812669055,0.03911335654297243
AES,0.008928620851015645,-0.04580911318044878,-0.010605560804733072,0.031048360365600387,-0.027192148875902742
AFL,0.016028317050261864,0.025777094140555623,-0.015707324470024986,0.003797858120528545,0.16624145489985734
AIG,0.018694620000539675,-0.05727246562512378,-0.005103126658060342,0.0017594791546348117,-0.14147022532623332
AIZ,0.014757241649161923,-0.04935395853632163,-0.03589202184279716,0.005495644848152013,-0.09696863981761447
AJG,0.005518571553419616,-0.016851141894900223,-0.02392230762136327,0.0902837662498029,-0.07590889330306008
AKAM,0.0013808091330246297,-0.014684046934704265,-0.04057090328262003,0.3973125944934005,0.08843472012958127
ALB,0.00621134932386902,-0.02669842367192965,-0.0066406669466732016,0.07227281667022213,0.024314040510848844
ALGN,0.009687059216076155,0.01550255217730423,-0.010633673041392955,0.02466530337115416,0.13518136280167767
ALL,0.002856943407605561,-0.00838600391941946,-0.0025152013173310728,0.22323610081199408,-0.043109282611209006
AMAT,0.0026182829987536627,0.002518845907899303,-0.060829791257490884,0.24364825211463978,0.20412115076211376
AMD,0.000531500735682866,-0.01992019068381179,-0.07721921021745581,0.5995623144080371,-0.012800943726804003
AME,0.0007840536755292504,0.0055367035143663035,-0.01988325211797748,0.5236535638973636,0.1222760344222676
AMGN,0.005563993903088149,-0.03117994647762501,-0.010146051654066346,0.0889657177693587,-0.1709851369717271
AMP,0.0037817070605939973,-0.013905237585996044,-0.01936874025972557,0.1610292857752839,-0.08174673161911422
AMT,0.0009804475793552259,0.012304090725192895,-0.0020261859422465722,0.4757404499088941,0.22344219978944505
AMZN,4.285963106642754e-08,-0.042685330622997286,-0.10741331905484341,0.9962387071032955,-0.06330061743393982
ANSS,0.0008116066974637182,-0.020861300461107568,-0.03710285699005622,0.5164438860670635,-0.05475240488336457
AON,0.007931893527793,-0.06457965645500119,-1.2332850628737901e-05,0.042152041302464416,-0.16577215395004669
AOS,0.0013778004381991282,-0.0327206457490985,-0.04277043335067088,0.3978276783744138,-0.23992023669680254
APA,0.01547425545750214,-0.04064205485435912,-0.00290070139301557,0.004460503016034287,-0.07105849771317203
APD,1.2405684007288365e-05,-0.02088734017667626,-0.0011323848440718542,0.936076454489608,-0.41486775447180196
APH,0.0055360754963685865,0.02056955356523127,-0.042420534418939004,0.0897733589977026,0.21879351689268536
APTV,0.005124092315488271,-0.02128602239093147,-4.647323125706038e-05,0.10266332023250342,-0.07222295204559297
ARE,0.007399481419603782,-0.019560654453105286,-0.0001702557544553951,0.04971930012519977,-0.04315207704519935
ATO,0.01032790775947312,0.023448855118983314,-0.0037892418176506126,0.020335373702117382,0.19872912865663284
AVB,0.04090057454716178,-0.026812815556092273,-0.01728657853159765,3.2671240797369617e-06,0.056895996869704396
AVGO,0.008398899130358961,-0.0351110709624467,-0.092314317902223,0.036507832239465764,0.025999401739792073
AVY,0.010502401736146583,0.006200256371677093,-0.010259064032059007,0.019298091439779626,0.09283230844850461
AWK,0.011599725320365462,-0.019055329694907197,-0.0030966337692439616,0.013909280430577708,0.11593254956585985
AXON,3.7121357629787965e-05,-0.004366406776767695,-0.03741322035699679,0.8896584489036371,-0.24667485087892208
AXP,0.03447628316691509,-0.04871486948662507,-0.02022631244551798,1.9977558965164738e-05,-0.020836840627161728
AZO,0.026869453838345936,-0.0749184826852003,-0.002124594049080164,0.00017128806242118266,-0.10234959373742929
BA,0.02865011803112283,-0.018622630401763374,-0.02497367015772123,0.00010348248583199335,0.04852204389886775
BAC,0.0004323108727519731,0.000771338894428375,-0.0018018648512818647,0.6358568659402031,0.047904102859861186
BALL,0.006856987166273587,0.00927254145016354,-0.006217466322095078,0.0589175138190081,0.10227916712988634
BAX,0.006104136210326017,-0.031759623946983284,-0.006981863401872568,0.07478708513476925,-0.06833542589608335
BBWI,0.003916493108389374,-0.004800286728558145,-0.0019189109207085053,0.15374549818797267,-0.006016872583402281
BBY,0.0036832331373298777,0.001611438472902349,-0.0009725300035954287,0.1665989737255821,0.20353703557374406
BDX,0.010907860795396629,0.020197534191035205,-3.117616186121275e-05,0.017092942160306497,0.22650078475863206
BEN,1.2981728391481262e-05,-0.006316289350343229,-0.007659855511000568,0.9346124268330386,-0.0911681487113455
BG,0.0077141241829927765,-0.02160980263896506,-0.0016014967936301971,0.045089603985104657,-0.07582550460117168
BIIB,0.018272003251356694,0.005774950351075558,-0.0005995790818456026,0.001986816180169168,0.1504884962559046
BIO,0.0008938757233357686,-0.027961244828935472,-0.007389295390496375,0.4959081575191827,-0.015083321614450765
BK,0.00042475899175531406,0.0013570459767462406,-0.012366910449538748,0.638823279093508,0.10737895740966164
BKNG,0.0006077620607209955,-0.0572396665935857,-0.10154304060916952,0.5744941526987539,-0.0017109397876933364
BKR,0.0007141342361461911,-0.004312285259600035,-0.01265968173016807,0.5427802837988701,0.0020061430948329424
BLDR,0.0030508143881975425,-0.04012853368105018,-0.10606498214670146,0.20814724101912346,0.10377791007680548
BLK,0.0014799489342030014,0.00048231127357512005,-0.011052358643614868,0.3808605572063192,0.026885658950545937
BMY,0.0006729593105669895,-0.10592940425034358,-0.04423930796992459,0.5546530716191761,-0.2829839357623605
BR,1.3594790781557009e-05,-0.025918795966893837,-0.0925453170928745,0.9330898038626452,0.15834998678313955
BRO,0.007688609429011173,-0.02790996949500335,-0.03276769890617692,0.045447578411325566,-0.09922250710351103
BSX,0.006006234802384491,0.02752713858351752,-0.03144385870468458,0.07716490981655436,0.21847829222596105
BWA,0.0003209809335195102,0.0005653395871010325,-0.0010410155410325306,0.6832814020533646,0.025336364900258306
BX,0.02383219314432128,-0.01223009044312473,-0.05789781216682233,0.000405505746936365,0.12937019506645622
BXP,0.008603396215456027,-0.000923579142430464,-0.003961718914427204,0.03429038659472008,0.059953274513887135
C,0.0008968902633653686,-0.0049475620755767835,-0.010691550162350794,0.495182158418602,0.012420711826437347
CAG,3.656613642977202e-05,-0.08019661692231606,-0.03895067044291389,0.8904815164343607,0.1041225388938721
CAH,0.0019957560502940064,-0.03158668356153327,-0.040705426948436374,0.30879232399696116,-0.15318314856787224
CAT,0.0004475092953415416,-0.012600987156125454,-0.015407226415249609,0.6299816664750147,-0.2237863085345854
CB,0.0010484848657412726,-0.0015322091883445133,-0.0019028510609426785,0.460810657037955,0.05961226358068431
CBOE,0.005429644637849007,-0.021500446154459896,-0.0997906489332383,0.09292581880588446,0.07989636405467096
CBRE,0.002417827131096506,-0.002372126444881051,-0.01051969833963895,0.2625688126467602,0.008748402097851982
CCI,0.0035179019469513406,0.006226711740142776,-0.0008495108576984656,0.17645277200456608,0.14995016829194888
CCL,0.0007026823482234601,-0.07334194090359314,-0.059078363426332325,0.5460346518088133,-0.16861988703108294
CDNS,0.002195397334123106,-0.02785229643317333,-0.10357652627625114,0.285744135880368,0.014812783621719233
CE,0.0024819461811659282,-0.01003228284883928,-0.04154624672779961,0.25632648601471475,0.16437655168602971
