,score_train,score_test
A,-0.00017626894091615775,-0.0021301661387138626
AAL,-0.0024065577649385883,0.006631019905785407
AAPL,-0.010101664311427783,-0.034219868617485494
ABT,-0.0023113235995610992,-0.0026782407023726584
ACGL,-0.0017142294143728254,-0.0051468243962971005
ACN,-0.054208054277989914,-0.09874692106949512
ADBE,-0.0046318863446064285,0.0028012355323014937
ADI,-11.16698212083395,-22.474053240805166
ADM,-0.005697546330829084,-0.02445825475162322
ADP,-0.5898125619436845,-1.332420690487889
ADSK,0.001813309919430628,-0.00295180065347056
AEE,-0.003495224389216345,0.002876824935903466
AEP,-0.7741953753035709,-1.7328036721095272
AES,-0.0022906805929892027,-0.0017047422073017682
AFL,-0.01893379547308327,-0.020924368238771196
AIG,-0.27543774356196704,-0.4873006405206952
AIZ,-0.008174341319253875,-0.006066034150371102
AJG,0.0005095461768571674,-0.002295841449766689
AKAM,-0.002739939058533203,-0.020065492950174013
ALB,-0.003698365659423386,0.0021595685132371756
ALGN,-0.0005768942945696409,-0.0027635198072120115
ALL,-0.7239862541887423,-1.3648532838363843
AMAT,-0.26330145105125724,-0.6365895737765066
AMD,0.00011146006879469983,-0.003506224706306682
AME,-0.0014643146677757457,-0.0024359598133971705
AMGN,0.0001637985726391511,-0.004317159779064328
AMP,-0.013565752724379987,-0.032918559861190966
AMT,-0.0020068947598013143,-0.023548616414191148
AMZN,-3.6183496689956955,-7.114490173617661
ANSS,-0.13515344901688708,-0.23291418847287093
AON,0.0020555200020520026,-0.009574345736489409
AOS,0.00024293050463086718,-0.001868820418153394
APA,-0.003639360897208288,0.006583275517094256
APD,0.0007679098442573418,-0.0018373876878492457
APH,0.0017335999601425511,-0.0083956240946923
APTV,-0.005059826006035939,-0.016707843331443595
ARE,-0.0015157818322939498,-0.0050793071175840865
ATO,-0.005768196634384326,-0.009547119037776941
AVB,-0.020122754024575418,-0.07027692363798521
AVGO,0.0015649598622887728,-0.0287586053660287
AVY,-0.5411674983952319,-1.0056830410339082
AWK,-0.041475598597735086,-0.12092449500922231
AXON,-2.43877854522956,-5.2669534347076254
AXP,0.001772813244395044,-0.0042601257408976245
AZO,-0.0013707240708775714,-0.010906186544602736
BA,-3.1459684627384323,-6.726842522817276
BAC,-1.236913554105513,-2.727961270511658
BALL,-0.5846921408396375,-1.3329758708041033
BAX,-7.1168468314722215,-14.249080697530424
BBWI,-0.00023128964500052085,0.0006754378172050268
BBY,-0.014851658705081094,-0.019919422871399695
BDX,4.035954499204131e-05,-0.0017672643717416836
BEN,-0.7624742402512357,-1.6861642279145612
BG,0.001132511224460675,-0.0006749394717053825
BIIB,-0.37569448266945416,-0.8693588135294361
BIO,-14.886221326865208,-30.138940628819455
BK,-0.8194179512781072,-1.5514209197801687
BKNG,-0.0006230532177726733,-0.002493355653612195
