,score_train,score_test
A,0.0748661846375539,-0.008684020540542958
AAL,0.10148105238532612,-0.11095966788700351
AAPL,0.06946834416211856,-0.07494856642690095
ABT,0.06857658769893304,0.008661560917450739
ACGL,0.14309010345935724,0.03682225321924426
ACN,0.11358517997691542,-0.005530460396221848
ADBE,0.0884471427529373,-0.2729668759426265
ADI,0.11108357130298385,0.010223742768950439
ADM,0.07445443181069022,0.025206369706324727
ADP,0.09534120775322141,0.0010128949195878922
ADSK,0.06747937845974672,-0.004199288364546527
AEE,0.1092492378437665,0.044015973753781745
AEP,0.0970223163779399,-0.024161589765555824
AES,0.09708007533088847,-0.019498109071265812
AFL,0.1514911741040137,-0.09754588088506311
AIG,0.10670454236803684,-0.3763352532058213
AIZ,0.10476781734781171,-0.010606733549517466
AJG,0.09907700260288244,0.013859145663851713
AKAM,0.08521005146096083,-0.08435829211106594
ALB,0.05577364204871127,-0.00562339956190816
ALGN,0.06561647298372997,0.01466168482041108
ALL,0.1010024220000596,-0.0804617511250576
AMAT,0.05735182951307949,-0.01837082720778116
AMD,0.04529757017429392,0.005491182626150559
AME,0.11020410949501314,-0.02218113025135393
AMGN,0.06915035755223131,-0.02346565081342389
AMP,0.15339826262443512,-0.14903585941391873
AMT,0.07908701486627534,-0.026257220068237164
AMZN,0.06738911609455245,-0.04257423377686376
ANSS,0.09085799302004827,-0.004625596519127306
AON,0.07439945438886408,-0.10546686490718282
AOS,0.051508650183395566,-0.09895953198557672
APA,0.11360659810690477,-0.4564709396968327
APD,0.10011931890965431,-0.07702986713029203
APH,0.07605829989499813,-0.025089564688801413
APTV,0.08956768381964608,-0.0065419202585119685
ARE,0.09567955795943328,0.0030529262334876295
ATO,0.11576132388959581,-0.06822542880790827
AVB,0.11548343609331113,-0.046638539735073925
AVGO,0.07795436820765655,-0.010384327097177293
AVY,0.057262565150813405,-0.018257208284403692
AWK,0.0811531934501537,-0.03549753542100609
AXON,0.04894489968972171,0.0008853786843348033
AXP,0.11750751049912778,-0.009810632017578591
AZO,0.05294777216240909,-0.023830847466905558
BA,0.11659375350100931,-0.634957540718674
BAC,0.12647323081635142,-0.025241028688998357
BALL,0.08095935264728227,0.011175352893257662
BAX,0.07915475710197506,0.05060201853288804
BBWI,0.096271960862791,-0.007744828897005451
BBY,0.060702873503820864,-0.15030230559851
BDX,0.07800173536762678,-0.07800098568024216
BEN,0.07015264349704864,-0.029999953309848282
BG,0.07662277563364284,-0.014133619377073137
BIIB,0.07764809941057293,-0.1531351624423134
BIO,0.06522975388372665,-0.008322043146537172
BK,0.10163136014641005,0.027187014067796333
BKNG,0.0660692599177225,-0.056268070027483796
BKR,0.08967065274058683,-0.037199921967276506
BLDR,0.06568595829590218,-0.049296042326511635
BLK,0.0996075135295732,-0.02606300199862721
BMY,0.0586283141582824,-0.07208959710339258
BR,0.07102602220377563,-0.022859027398221876
BRO,0.09644387311706526,0.013280958749548932
BSX,0.07685186311393133,-0.1332034010350731
BWA,0.07126108504198936,-0.0631491166352145
BX,0.0776018079811861,-0.0823040514610156
BXP,0.07824298690887488,0.010463215650364788
C,0.12536137160644933,-0.006840990288807802
CAG,0.07665683189136585,-0.035754768097432166
CAH,0.05617897946402528,-0.03888745260450022
CAT,0.05569505624555415,0.00345040062879165
CB,0.10158974329152903,-0.09246676488017891
CBOE,0.08989594186064209,-0.04935665266649791
CBRE,0.09910987487294143,-0.013588449831211769
CCI,0.06821200373315128,-0.009110773197229305
CCL,0.12092473551435468,-0.08634887774746125
CDNS,0.08518109563165055,-0.09165565971642864
CE,0.08613134899196073,-4.700074103980434e-05
CF,0.06325429115380465,-0.0013835057279780738
CHD,0.07685010223338462,-0.004370737867799068
CHRW,0.0642484813577,0.01483152435119528
CHTR,0.058325668141819165,-0.004131775290125539
CI,0.06518941363779418,0.016833354309886084
CINF,0.1326074658219697,-0.0049529458544939065
CL,0.09220905048953498,-0.007025205569719972
CLX,0.05603075574193728,-0.0774863044755596
CMA,0.10921476011022946,-0.0639602880037129
CMCSA,0.08912585100373582,-0.04582002058274348
CME,0.12359521768638104,-0.03083881097643526
CMG,0.06554147579344094,-0.00147465792045276
CMI,0.05389950700891821,0.009648593960641771
CMS,0.09023114431379708,-0.03869276324196291
CNC,0.05219736151183885,0.0167569951798735
CNP,0.1656822979472683,-0.1072540369906374
COF,0.09435019889377372,-0.04630254480008844
COO,0.07175270814588663,-0.08066022051568655
COP,0.10225888444139586,-0.013411752225993778
COR,0.08311633491321324,-0.44115555556685604
COST,0.07821577263565527,-0.4557946831925517
CPAY,0.06162941710564429,-0.08560766475794623
CPB,0.05892883926522807,-0.02302726764267793
CPRT,0.08003344610382235,0.0026003177872236938
CPT,0.08835078644214833,-0.026039921479144246
CRL,0.07407642743190568,-0.01496277628491538
CRM,0.07389576098741146,-0.01054094868400468
CSCO,0.0864179428420756,0.004763014768786045
CSGP,0.0635357111990591,-0.009105214029994757
CSX,0.10358877258550292,-0.014460147500264808
CTAS,0.09241254997698034,-0.007822827522274034
CTRA,0.0460591519537501,0.0069714170568750955
CTSH,0.09314029254900014,0.01935238629434799
CVS,0.06973912965994111,-0.006956163059163467
CVX,0.12773436098409818,-0.039932778389402124
D,0.08957207381807064,-0.024160564796564588
DAL,0.0987238661509614,-0.026140823094591426
DD,0.0918870194551803,0.0014195834884475067
DE,0.0655744529578276,-0.010428180883023996
DECK,0.050047668208870855,0.03245419892923662
DFS,0.10707359378288428,-0.009189387900646384
DG,0.06396051094288457,-0.1326043508166581
DGX,0.052529701334044776,0.002414817294543292
DHI,0.057985718024174404,-0.01480590661720238
DHR,0.08238142022756556,0.008494201156704961
DIS,0.09942182735780702,0.0006452850686133882
DLR,0.058753849620236664,-0.018481878302974764
DLTR,0.07314817615039149,-0.01847961475355797
DOC,0.07861618285990613,-0.013601031992559909
DOV,0.0750456285234038,-0.013920509982284557
DPZ,0.07210886392867777,-0.03910246269637074
DRI,0.09457853234426195,-0.21165782459284355
DTE,0.14875648646086514,-0.08000653720329853
DUK,0.09152072443317794,-0.0024792447060830725
DVA,0.07970079552295029,-0.027933093911362672
DVN,0.0996463924128086,0.006328240461972223
DXCM,0.05678394325212088,-0.1283608877920226
EA,0.07209785445121253,-0.18891051924067614
EBAY,0.057096879498134134,0.0006742097483920517
ECL,0.08398828308594597,-0.6668751694511559
ED,0.06883192481530398,-0.014784384055384292
EFX,0.08002382287814147,-0.03287386785339974
EG,0.11447281553399957,-0.012072615073698278
EIX,0.16321179239708772,-0.4178504739801381
EL,0.06881428666454992,0.01310210194171646
ELV,0.07222680377457014,0.02519743838237809
EMN,0.07040431375826306,-0.005549359406131993
EMR,0.13902689084424602,-0.019014036084653796
EOG,0.06904947782125681,-0.019158626609530938
EQIX,0.05494488850334278,0.007291224565961207
EQR,0.08221441652204908,-0.20743934119274576
EQT,0.06917005032460533,-0.004248648858918402
ES,0.08562664921375496,-0.008863048239707183
ESS,0.08894640122921227,-0.017300167673489852
ETN,0.05997177286294353,-0.026456499781229548
ETR,0.12068623522660271,-0.012999587586250527
EVRG,0.14118928565423894,-0.04333058512693411
EW,0.0725250012698605,-0.006573671285304394
EXC,0.11783011766868723,-0.14034138477103952
EXPD,0.06156718258084348,-0.007474693032303303
EXPE,0.0852310192136918,0.0031733097426744905
EXR,0.07256744486091504,0.018697293352563316
F,0.07142975254875095,0.00954452406367412
FAST,0.07487009427081459,-0.02645256889159686
FCX,0.07601442863591379,0.019348291253346694
FDS,0.10999263667463699,-0.05559437368378495
FDX,0.09787201721999039,-0.010698829946797828
FE,0.09890004071109537,-0.003941218733610308
FFIV,0.0656893430511386,-0.1043443150043486
FI,0.11002330765864132,0.012730844747903536
FICO,0.09301469557828757,-0.12351520834455054
FIS,0.07881804258433744,-0.021674204229610083
FITB,0.12035868127435478,-0.14214388844071957
FMC,0.07051543401180449,-0.04850062939705069
FRT,0.13911287277904705,-0.011650097541127558
FSLR,0.04595555387069372,0.004915268944701179
FTNT,0.07232907442316172,-0.013890800613144183
GD,0.06309473043120983,-0.012384902620317995
GE,0.10297523627519745,0.021318283153437645
GEN,0.06583204264879083,-0.02915887325609301
GILD,0.07457315397700781,-0.028872209362775125
GIS,0.04482630087671868,-0.02297657577949841
GL,0.14493554301753653,-0.09280774953166859
GLW,0.07749340442458563,-0.0001268889857668487
GM,0.07058013646900119,0.0014348780266274508
GNRC,0.05425189604843972,0.006075105387137958
GOOG,0.0634948796566982,0.004909776070036398
GOOGL,0.05966194991665019,-0.004708570338335383
GPC,0.09051185628908442,-0.024747691222621437
GPN,0.0763400941911686,0.012046480921889868
GRMN,0.05216898889593591,-0.0335299851242008
GS,0.1034586815383628,-0.01836023107281748
GWW,0.05772368059601951,-0.010014809928145851
HAL,0.13431382853522078,-0.22716675274078946
HAS,0.08849872231489664,-0.026127427690824767
HBAN,0.07772652642417144,-0.027998919769896213
HCA,0.06413488310763893,-0.48188880360454234
HD,0.08892205388268792,-0.03998158795120288
HES,0.09234244370158973,0.0036799046802360458
HIG,0.10884536097652198,-0.3200217356222568
HII,0.05311690813208203,-0.709377985509904
HOLX,0.05362342855608815,0.01101411739907876
HON,0.08199499085772377,-0.005662995027373663
HPQ,0.07508011698636685,0.016575288119915932
HRL,0.05342846829937642,-0.17694449040840987
HSIC,0.06581259950422236,-0.08465850199812963
HST,0.09869110955024218,0.01822007378973234
HSY,0.08783598683441618,-0.07244751515709869
HUBB,0.07775369126263032,0.004480491815141097
HUM,0.062441789889936206,-0.006637465693450473
IBM,0.07897817755023595,-0.005731423189108575
ICE,0.08524684120490478,-0.032525122459516
IDXX,0.05325073657745971,-0.013926217562781451
IEX,0.10360571353089687,0.0007518974583694549
IFF,0.0762104319913115,-0.007612039566603723
ILMN,0.05508963901801811,-0.01606406878651856
INCY,0.07164950441103068,-0.23205100144317803
INTC,0.09193808938245751,-0.03582811767111882
INTU,0.08809927795693984,-0.04104600804705427
IP,0.12122877557102685,0.024443616618467612
IPG,0.0832698361720875,-0.08730824804399373
IRM,0.06313076526010675,-0.0615544026730781
ISRG,0.061563763702825014,-0.029669835365070618
IT,0.07409087776511658,-0.014806447751401164
ITW,0.07750079799665688,-0.04974196516419971
IVZ,0.11339357697163699,-0.0032401709183771388
J,0.04725421045471556,0.006284414067976529
JBHT,0.06752342978152515,0.0022957092632139853
JBL,0.0668724080108335,-0.005560844781784757
JCI,0.04921944884685514,-0.007518077268593881
JKHY,0.05966444139072524,0.01815267999021286
JNJ,0.09009652628811815,-0.006229234874711498
JNPR,0.06822441401826562,-0.011160104974102802
JPM,0.1256469860762579,-0.27305331652431963
K,0.06927472866445461,0.0029762595919680113
KDP,0.06263481035116614,-0.13192433613969046
KEY,0.14427737135354046,-0.21917659815611668
KIM,0.11678334144534819,-0.020200898568556003
KLAC,0.09713963263113923,-0.1134674439454515
KMB,0.06426158334679843,0.013022591578448539
KMI,0.13932627889664428,-0.3140481596930116
KMX,0.05801922474698917,-0.004287166758132788
KO,0.08520325926221173,-0.010454106012198316
KR,0.052258819451994065,-0.012742272823662804
L,0.1720682179735995,-0.22831245821778157
LDOS,0.057882128295865476,-0.012910379754351053
LEN,0.09054784316507702,0.014944064349185937
LH,0.09180502575897975,-0.03751031422552065
LHX,0.07740090832101432,-0.03389757264655335
LIN,0.07098705136744399,0.02685553235480631
LKQ,0.08752203055063068,-0.19121800805871625
LLY,0.0651453620384087,-0.006036701272778222
LNT,0.07460511594385544,-0.001167759336453189
LOW,0.08110639244734463,-0.001829934295607849
LRCX,0.08719539097361806,-0.099565529662073
LULU,0.0666989033903006,0.009432197181331703
LUV,0.07905433562934461,0.0016253305731194212
LVS,0.07552831083446043,0.021417470915868875
LYB,0.099187039415088,-0.01849429595122265
LYV,0.07753453059128301,-0.008795877170101996
MA,0.08561011011036801,-0.052386737636079816
MAA,0.09471774515961795,-0.11527198585567233
MAR,0.11771058528682865,-0.09094086230573817
MAS,0.05758564197172289,0.015065709225346002
MCD,0.13124503636849905,-0.0370017352331542
MCHP,0.08780998599699885,0.005161428582801664
MCK,0.10229736173468018,-2.595752792292035
MCO,0.1062768234212722,-0.01013157515484897
MDLZ,0.08396580971963319,0.0007619514863048682
MDT,0.08369495908007885,-0.02615516627869896
MET,0.12686084648083118,-0.04993077850202465
MGM,0.09841442995612981,-0.02412924799414551
MHK,0.09883921096542558,-0.018783189804607137
MKC,0.07322563114162273,-0.008862334794777382
MKTX,0.04766879654018752,-0.04566113282483353
MLM,0.06957932571218961,-0.005597745771156015
MMC,0.08167268239460412,-0.017531447238956277
MMM,0.05903712668252514,-0.14580037904969045
MNST,0.058504749279981616,0.04181849556224748
MO,0.06501446971026004,-0.12401583835774721
MOH,0.05962882750532528,-0.0170284367066047
MOS,0.10405443426952177,-0.03127801420657783
MPC,0.12184541363119505,-0.11605378433218494
MPWR,0.11511849495386828,-0.013280976732709115
MRK,0.06190687543101292,0.013523560829311498
MRO,0.0816012870012972,-0.33295335630353806
MS,0.11470041144237941,-0.035639381419414695
MSCI,0.09274624963401013,-0.044027006801658164
MSFT,0.09165660180901958,-0.016905588471883393
MSI,0.07895633441775995,-0.022340571538688847
MTB,0.11910097687248022,-0.046779670262577344
MTCH,0.07496375233868247,-0.0399953543049123
MTD,0.0694801974254069,0.008168025481227636
MU,0.05050169200385568,-0.03150351712679833
NDAQ,0.0902595975037892,-0.01882082443805566
NDSN,0.10615924852074288,0.0107268637250727
NEE,0.09113754574071342,-0.022986969331935114
NEM,0.04892977818585176,-0.007499370537970895
NFLX,0.06295038466868597,-1.973583872147218
NI,0.09913185822417037,0.006272393815415778
NKE,0.06688597042079636,-0.02488411066657159
NOC,0.07578696636340099,-0.16221736770370376
NRG,0.05567139487133843,-0.18284643532667033
NSC,0.10269916570003801,-0.0517590729642643
NTAP,0.06824488160063535,-0.014211178974615546
NTRS,0.11008092488458399,-0.012823790647001232
NUE,0.07779718103178579,0.021128439488029338
NVDA,0.072527597381152,-0.07942056029652678
NVR,0.10651911404889103,-0.008133206260702908
NXPI,0.07330569398550613,-0.0038595797068492477
O,0.11410290573163595,0.00041292781882495966
ODFL,0.06040199007985936,0.011167875134404315
OKE,0.13554389666539368,-0.4855164519629289
OMC,0.09758100751326915,0.0027288536707872346
ON,0.07119124824781053,-0.0065263756088396185
ORCL,0.10231084774582033,-0.007859052167678904
ORLY,0.0584934798250778,0.008043247972461587
OXY,0.13144166480295572,-0.05922652376554094
PARA,0.11959100945680301,-0.00010085778588209138
PAYX,0.10389588515319481,0.011527183013626097
PCAR,0.05894084105144459,0.03985991014070722
PCG,0.1692221205526947,-0.28555560815869363
PEG,0.09656833321639757,-0.006667853569185533
PEP,0.14641414646720985,-0.014595009062105202
PFE,0.053277818971141255,-0.027783869725062083
PFG,0.08935152173595229,-0.12271060384628396
PG,0.08289475320475226,-0.011843848128096468
PGR,0.07448833689108181,-0.008479847085335557
PH,0.09449470999325149,-0.05527996168001348
PHM,0.08653373092399097,-0.01824193237827676
